Actual,Predicted
"Photographs taken after the 7.8-magnitude earthquake sparked an avalanche on Mount Everest on Saturday show the campsite buried beneath snow and belongings strewn across the mountain .Eighteen people were killed in the avalanche, including three Americans, and more than 60 were injured .Survivors recalled harrowing tales of being pummeled by snow and rocks as they prayed for their lives .The massive earthquake is believed to have killed at least 4,352 people across the region .","Tents crushed by snow, belongings strewn across the mountainside and a desperate scramble to find any injured victims: this is the chaotic scene after a 7.8-magnitude earthquake sparked an avalanche on Mount Everest, killing 18 people. Before and after images show how the wave of snow, ice and rock flattened the usually serene 18,000-foot-altitude base camp on Saturday. The avalanche started on Mount Kumori, a 23,000-foot-high mountain just a few miles from Everest, and gathered strength as it tore across the world's highest peak. Half an hour after the initial"
Manchester United are set to strengthen their squad again this summer .Felipe Anderson has attracted interest from PSG and Manchester City .Liverpool and Arsenal are also keen on Lazio's Brazilian midfielder .Louis van Gaal hopes to sign two strikers when the transfer window opens .Gonzalo Higuain is unsettled at Napoli with boss Rafa Benitez set to leave .,"Manchester United checked on Lazio's Felipe Anderson and Gonzalo Higuain of Napoli on Wednesday night. Anderson set up Lazio's winner for Senad Lulic in the Coppa Italia semi-final second leg which sees them face Juventus in the final. The 21-year-old Brazilian midfielder has been in strong form this season and has drawn scouts from Paris Saint-Germain, Manchester City, Liverpool and Arsenal, with the French champions represented again at the San Paolo stadium. Lazio midfielder Felipe Anderson (left) plays a pass under pressure from Napoli's Marek Hamsik. Manchester United"
"Phil Taylor suffered his fourth loss of the season with Thursday's defeat .Peter Wright lost 7-4 to Adrian Lewis, while Kim Huybrechts drew 6-6 with Stephen Bunting on 'Judgement Night' in Manchester .Results meant Wright suffered elimination due to leg difference .League leader Michael van Gerwen romped to a 7-4 win over James Wade .Raymond van Barneveld drew 6-6 with Gary Anderson in the other clash .","Phil Taylor suffered his fourth loss of the Premier League season with defeat to Dave Chisnall in a dramatic night of darts on Thursday. Taylor, the 16-time World Champion, squandered a 4-2 lead to lose the next five legs and the match 7-4. The defeat for Taylor sees the 54-year-old finish the opening set of round robin fixtures in fifth. Phil Taylor squandered a 4-2 lead to lose 7-4 against Dave Chisnall during their Premier League darts clash. Chisnall celebrates after his victory moved him up to second in the table after nine matches of the season. Michael van Gerwen"
Aurelio De Laurentiis furious after semi-final elimination by Lazio .Napoli owner threatened to send the team to an 'unlimited training camp'Rafael Benitez's side now only have the Europa League as a trophy chance .,"Napoli president Aurelio De Laurentiis has threatened to send his players to a training camp 'for an unlimited period of time' if they do not improve between now and the end of the season. Di Laurentiis was furious after his team continued their recent slide by losing 1-0 at home to Lazio in the second leg of their Coppa Italia semi-final on Wednesday, going down 2-1 on aggregate. The elimination came on top of a run of five Serie A matches without a win which has seen Napoli drop from third place to sixth, leaving them with only a faint chance of qualifying for the Champions League next season. Lorenzo Insigne"
Jehovah's Witness and her baby have died after refusing blood transfusion .The 28-year-old suffered from leukemia but refused treatment due to beliefs .Over 80 per cent of treated pregnant leukemia sufferers go into remission .Doctors and staff have described the distressing scene after the baby died and then the woman suffered a fatal stroke and multi-organ failure .,"A heavily pregnant Jehovah's Witness woman and her baby died after she was diagnosed with leukemia but refused a blood transfusion that would probably have saved both of their lives. The 28-year-old was diagnosed with the cancer seven months into her pregnancy, and doctors told her she could give birth via a caesarean section and undergo chemotherapy but both would require her to have a blood transfusion. The Sydney woman refused both options due to her religious beliefs and her baby died in utero three days later. She had a stillbirth and died 13 days after her diagnosis after suffering a stroke and multi-organ failure. A pregnant Jehovah's Witness woman and her"
Patrick de Koster will go 'around the world' to talk about Kevin de Bruyne .The Wolfsburg midfielder is wanted by Manchester City and Bayern Munich .De Koster has admitted having talks with City chiefs this season .But he has not spoken to Manchester United about a move for his client .De Bruyne remains happy at Wolfsburg and could yet remain at the club .,"Kevin de Bruyne's agent expects to go 'around the world' discussing his client as interest in the Wolfsburg midfielder increases ahead of the summer transfer window. Patrick de Koster, who has confirmed that he held talks with Manchester City earlier this season, admits that he could receive 20 phone calls a day about the Belgium international as clubs prepare to strengthen their squads before the start of next season. City are keen to sign the ex-Chelsea midfielder as they look to reshape their squad but De Koster insists no decision has been made and that the 23-year-old could even remain at the Volkswagen Arena. Wolfsburg midfield"
"On Tuesday, SpaceX made a third attempt to land booster on a barge .But the booster tipped over after hitting its target and was destroyed .New footage reveals how rocket overcompensated for its extreme tilt .Falcon 9 today reach the ISS with supplies for the astronauts onboard .","On Tuesday, SpaceX came incredibly close to landing its Falcon 9 rocket booster on a barge in the middle of the Atlantic. Now, leaked footage reveals just how close Elon Musk's firm came to success, with a close-up view of the daring attempt shot on a GoPro camera. The unverified video shows the rocket drifting onto its target before a gust of wind topples it over. On Tuesday, SpaceX came incredibly close to landing its Falcon 9 rocket booster on a barge in the middle of the Atlantic. Now, leaked footage reveals just how close Elon Musk's firm came to success, with a close-up view of the"
Norway's Alexander Kristoff won race after sprint finish with Niki Terpstra .Geraint Thomas was among favourites to claim title following recent win .The Welshman was unable to recover ground on Kristoff and Terpstra .,"Team Sky's Geraint Thomas had to settle for 14th place in an incident-packed Tour of Flanders as Norwegian Alexander Kristoff took victory in a sprint finish with Holland's Niki Terpstra. With Tom Boonen and Fabian Cancellara - winners of six of the last 10 races here - missing through injury, Thomas was one of the favourites to claim the title following his recent victory in E3 Harelbeke and third-place finish at the Gent-Wevelgem sprint classic. He was in contention for much of Sunday's race as Team Sky set the pace in the peloton for lengthy periods, but the Welshman was unable to recover"
"Exclusive: Zinedine Zidane has confirmed Real Madrid are keen on signing Liverpool winger Raheem Sterling .Sterling has rejected the chance of signing a £100,000 a week deal .Zidane has revealed Real have been 'monitoring' England ace Sterling .Real monitored the likes of Gareth Bale and Isco before completing deals .READ: Liverpool may struggle to sign big names, says Brendan Rodgers .","Real Madrid are keeping tabs on Liverpool contract rebel Raheem Sterling. Bernabeu legend Zinedine Zidane, now managing the Spanish giants' Castilla B-Team but long tipped for the No 1 role, insists the club are looking for the world's best youngsters to add to their squad. Sterling would certainly fit the bill. The England winger, who has netted six times in the Premier League this season, is at loggerheads with the Anfield hierarchy over a new deal. Zinedine Zidane has revealed La Liga giants Real Madrid are keen on signing Liverpool winger Raheem Sterling. Zidane ("
"Chelsea to play three matches inside six days in the United States .They will face New York Red Bulls, Paris Saint-Germain and Barcelona .Fiorentina will then travel to Stamford Bridge for friendly on August 5 .Four matches will make up Chelsea's participation in Champions Cup .READ: Chelsea interested in £43m Antoine Griezmann .","Chelsea will face Paris Saint-Germain, the French team who knocked Jose Mourinho’s side out of the Champions League this season, in a pre-season friendly in July. The Blues, who were sent crashing out on away goals at the last-16 stage following a 2-2 draw at Stamford Bridge, will play PSG in North Carolina on July 25. It is one of three games Mourinho’s side will feature in across the pond as they gear up to defend a probable Premier League title. John Terry leads the celebrations as Chelsea close in on the Premier League title with a 0-0 draw at Arsenal. Eden Hazard, the PFA Player of the Year,"
LeBron James scores 30 points as Cleveland beat Boston .Cavaliers beat Celtics 99-91 to extend their lead in series to 2-0 .Washington Wizards beat Toronto Raptors 117-106 in Canada .Houston Rockets take 2-0 lead over Dallas Mavericks with 111-99 win .,"Washington, Cleveland and Houston all earned 2-0 leads in their NBA first-round playoff series with victories on Tuesday, continuing the previous day's pattern. All five of the series that have played two games now stand at 2-0, with the Wizards, Cavaliers and Rockets joining Monday's winners Chicago and Golden State with the early two-game buffer in the best-of-seven series. Washington's 117-106 victory at Toronto owed most to John Wall, who had 26 points and 17 assists, and Bradley Beal, who scored 28 points. LeBron James scored 30 points as the Cleveland Cavaliers moved into a 2-0 lead over the Boston Celtics. Cleveland'"
"Christopher Swain donned protective suit to swim through Gowanus Canal .Brooklyn waterway is famous dumping site for toxic industrial waste .Roughly 377million gallons of diluted raw sewage poured in each year .Swain quit two-thirds of a mile into 1.8-mile journey and said it was like 'swimming into a dirty diaper'Swimmer gargled peroxide and had special tablet on hand to fight against contaminated water entering his body and making him sick .He urged faster cleanup of the canal, which is slated for dredging in 2017 .","A clean-water advocate took an Earth Day swim in New York City's polluted Gowanus Canal, a site designated by the federal government as especially polluted, but quit less than halfway through. Christopher Swain wore a protective yellow suit as he went over a railing and into the water around 2pm Wednesday in Brooklyn but completed only two-thirds of a mile of the 1.8-mile waterway. He swam about an hour into the canal in a stunt to urge environmental clean up that ultimately succumbed to the water's pollution because the experience was like'swimming 'in a dirty diaper'. Christopher Swain"
Aston Villa and Reading both charged with failing to stop spectators encroaching on to the pitch during FA Cup quarter-finals .Villa's victory over West Brom was marred by chaotic scenes .Reading's win over Bradford saw fans invade the Madejski Stadium pitch .Clubs have until Thursday to respond to FA charges .,Aston Villa and Reading have been charged by the Football Association in relation to crowd disturbances occurring after their FA Cup quarter-final matches. It is alleged that Villa and Reading failed to prevent spectators encroaching on the pitch following the clubs' sixth-round victories against West Brom and Bradford respectively. Both clubs have until Thursday to respond to the charge. Reading fans invaded the pitch after the FA Cup quarter-final replay against Bradford at Madejski Stadium. Aston Villa supporters mobbed Fabian Delph and Co after they beat West Brom at Villa Park. The Midlands club's 2-0 win at Villa Park had to be temporarily stopped as fans spilled onto the pitch
"Paul Armstrong flew to Cyprus to celebrate new job as IT project manager .Was stopped at airport with stun gun, baton and knuckle duster in his bag .Pleaded guilty to possession of a firearm and lost his job before starting it .26-year-old was sentenced to eight months in jail, suspended for two years .","Armstrong, 26, pleaded guilty of trying to bring a stun gun, a baton and knuckle dusters back into the UK from Cyprus in his luggage (file picture) A holidaymaker who jetted off to Cyprus to celebrate his new job was sacked before starting after returning with a stun gun, baton and knuckle duster in his luggage. Paul Armstrong, 26, of Sunderland, flew to Cyprus with four friends before beginning his new role as an IT project manager. But after a spending spree on the trip, Armstrong was stopped at the airport with the stun gun disguised as a torch, extendable baton and kn"
Fabio Capello believes England would be much stronger with John Terry .Terry was  accused of racially abusing Anton Ferdinand back in 2011 .The defender was stripped of the England captaincy by the FA .Former England boss Capello believes Terry should have kept his role .,"Fabio Capello claimed John Terry is still England’s best defender and maintained he should never have been stripped of his captaincy. Speaking about the Terry race row for the first time since leaving his post as England manager, Capello said England would be in a much stronger position if they still had the Chelsea stalwart at their disposal. ‘I think John is England’s best defender and they have not got a lot of defenders,’ said Capello, ‘It is better to have a player like John than not have him.’ Fabio Capello insists defender John Terry should never have been stripped of the England captaincy. Capello claims England"
"Sherrilyn Ifill: Police violence against unarmed African-Americans is a national crisis .U.S. policing needs dramatic overhaul, she says .","Incidents of police-involved killings and assaults on unarmed African-Americans are unlikely to end soon. That's partly because police brutality is neither new nor reflective of a ""moment."" And it's also because we have not yet shown the resolve needed to end it. This is a reality we must face if we are going to reverse course from what has become a national crisis. The peaceful protests that were followed by outbreaks of violence in Baltimore this week have underscored the danger of ignoring the crisis -- as frustration and impatience with the status quo boils over. The violent response of police officers to unarmed African-Americans is"
Noreen Spendlove was 68 when she developed pain in her left side .GP referred Noreen for a mammogram which revealed three tumours .MPs warn that women will die as a result of the screening age limit .'Extending the age for routine mammograms would mean more lives saved',"8,000 women in their 70s are diagnosed and treated for breast cancer. Noreen Spendlove was reassured when the results of her latest mammogram were normal. Noreen, then 68, had the scan as part of the NHS breast cancer screening programme, and as she says: 'As always, getting the all-clear was a big relief.' But 18 months later, shortly before her 70th birthday, the mother-of-three from Derbyshire developed intermittent pain in her left side, just below her breast. And although Noreen, a former administrator, wasn't concerned, her daughter, a radiographer, insisted she see a"
"The 54-year-old actress covers Marie Claire's career-oriented supplement, which is featured in the May issue of the magazine .","Actress Julia Louis-Dreyfus has revealed that the ultra-short hairstyle she models in the newest season of HBO's political comedy Veep was inspired by none other than presidential candidate Hillary Clinton. Speaking in the latest issue of Marie Claire's career-oriented supplement @Work, the 54-year-old, who stars as fictional US President Selina Meyer in the hit comedy show, was quick to note the scrutiny the former senator and secretary of state has faced as a result of her varying hairstyles over the years, while also leaping to the politician's defense. 'Hillary Clinton has gotten so much sh** for her hairstyles over the years,"
"Crown Princess Mary spent Sunday on the farm with her children .Husband Crown Prince Frederik was absent as was Prince Christian, nine .Spent the day out petting calves and inspecting a herd of cows .Event took place in the tiny village of Kirke Hyllinge in Zealand .","Denmark's Crown Princess Mary might have wowed in a succession of evening gowns last week but Sunday was all about low-key family time for the Australian-born royal. Mary, 43, treated her three youngest children, Princess Isabella, seven, and twins Princess Josephine and Prince Vincent, four, to a day out at a farm in Kirke Hyllinge, a village in Zealand. Making the most of the sunny weather, the quartet certainly appeared to be having fun, with all four crouching down to pet a tiny Holstein Friesian calf. Scroll down for video. Enjoying the sunshine: Denmark's Crown Princess Mary and her daughters Isabella"
The ICC confirm Mustafa Kamal's departure as president .Kamal unhappy with umpires after India beat Bangladesh at the World Cup .There will be no immediate replacement for Kamal .,"Mustafa Kamal's resignation as International Cricket Council president has been accepted, it was confirmed after the governing body's quarterly meeting. Bangladeshi politician Kamal resigned after voicing his disquiet at umpiring decisions in his country's World Cup quarter-final defeat against india in Melbourne last month. Kamal's remarks were described at the time as 'unfortunate' by ICC chief executive David Richardson. Mustafa Kamal has had his resignation from the International Cricket Council president role ccepted. Kamal was unhappy with umpire calls in Bangladesh's World Cup defeat to India. India eliminated Bangladesh in the World Cup"
Youssouf Mulumbu has revealed votes for the Player of the Year awards .West Brom midfielder has picked Harry Kane for the main award .Eden Hazard was selected by Mulumbu for the young player award .,Youssouf Mulumbu has cast his vote for the PFA Player of the Year awards and has picked Harry Kane and Eden Hazard for the main prizes. The West Brom midfielder has chosen Tottenham striker Kane for the top award while Chelsea wideman Hazard is Mulumbu's pick for young player of the year. The Baggies player posted an image of his voting slip to Twitter on Wednesday and asked his followers: 'What do u (sic) think?!' Harry Kane has been given the nod by Yousssouf Mulumbu for this season's players' Player of the Year award. The West Brom midfielder has picked Chelsea
Jose Mourinho under fire after Chelsea only have 30 per cent possession in Saturday's 1-0 win over Manchester United at Stamford Bridge .Chelsea's football this season has been pragmatic but ultimately effective .Mourinho has learnt from the mistakes of last season to lead a title charge .READ: Mourinho warns his young players he cannot play them all .CLICK HERE for all the latest Chelsea news .,"The possession police are out in force, and Jose Mourinho is the Premier League’s Most Wanted. The football purists are foaming at the mouth – how can this Portuguese pretender dare to win games without wanting the football? Is this the most negative side to ever win the title? Is this the most terrible team to lift the Champions’ crown? Woah there, just hang on a moment. Jose Mourinho has come under fire for Chelsea's lack of possession during their 1-0 win over Man United. Mourinho and his staff and players celebrate the crucial win over United on Saturday at Stamford Bridge. I’m no fan of the kind of"
Incident occurred over the Arabian Sea in Mumbai Airspace .A Resolution Advisory alarm is sounded if within 25 seconds of collision .Both Emirates and Etihad say safety of passengers was not compromised .Indian officials are now investigating the incident as it was in its airspace .,"two passenger jets allegedly came within 25 seconds of a mid-air collision over the Arabian Sea. One of the carriers involved, Dubai-based Emirates, referred to the apparent near-miss as an 'air traffic control incident' in a statement on Wednesday. Neither the Dubai carrier nor Abu Dhabi-based Etihad Airways would say how close the two planes came to each other. However a Resolution Advisory (RA) was given to both planes, which means the distance between the two aircraft could have resulted in a collision within 25 seconds. Etihad have maintained that the safety of its passengers was never compromised after it came 'within 25 seconds of collision' with"
Cobain lived with Courtney Love in the two bedroom apartment on Spaulding Avenue in L.A.'s Fairfax district .The Nirvana frontman lived here in 1991 and 1992 .Currently owned by Brandon Kleinman .Heart-Shaped Box was supposedly written in its bathtub .,"Currently showing in cinemas, the new documentary Montage of Heck claims to offer the most intimate glimpse yet into the life of Nirvana frontman Kurt Cobain. But one Los Angeles resident can offer fans an even more intense taste of the singer's life, by letting them sleep in his house. Cobain lived in this two bedroom apartment on Spaulding Avenue in L.A.'s Fairfax district during the height of Nirvana-mania. Scroll down for video. The two-bedroom apartment is inside a 1920's building on Spaulding Avenue L.A.'s Fairfax district. A picture taken of Kurt Cobain in the"
Renner showed off his vocal skills .He sang an Ed Sheeran hit .,"Marvel Comics superhero Hawkeye is a master with the bow and arrow. He's also got a secret super-talent at singing Ed Sheeran parodies. The"" Avengers"" character (played by Jeremy Renner) was a guest on ""The Tonight Show Starring Jimmy Fallon,"" where he got behind the piano to showcase some of his other skills. Billboard: Jimmy Fallon hits hot 100 with 'Ew!,' featuring will.i.am. ""Listen I've got powers too, and they're pretty sweet. I promise I can do so much more than just archery,"" he crooned to a"
"21-year-old student Jackson Gordon has designed and built a functional Batsuit .Made with money raised on Kickstarter, the outfit has received a prestigious endorsement .","by day he is an industrial design student at Philadelphia University, but Gordon has another side to him -- a side altogether darker, tougher and more enigmatic. Hanging in his workshop Gordon has a full suit of armor plating, cape and cowl -- matte black and built to stop a knife. Gordon has an alter ego: the Dark Knight himself, Batman. You might expect his origin story to be cloaked in mystery, but speaking to CNN Gordon is quick to explain how the transformation took place. Gordon says his calling came five years ago when he began experimenting with cosplay. ""Previously I'd been involved with costume making... I'd made a version of"
"Two raiders tried to attack a jewellery shop in Wigan, Greater Manchester .They smashed in with an axe and sledgehammer but a brave employee managed to hold them back .Criminals escaped on a motorbike but witness caught them on camera .Police are now appealing for information to help them catch the raiders .","two armed robbers have been caught on camera using a sledgehammer and an axe to try and smash their way into a jewellery shop. The raiders were foiled by a brave employee who barricaded the door to the premises, and they proceeded to flee on a motorbike. A passer-by captured photographs of the two criminals, and police have now appealed for the public to help them identify the offenders. Raid: One of two robbers who used a sledgehammer and an axe to try and break in to a jewellery shop. The attempted break-in took place in Pemberton,"
"Whitney Fetters turned herself into cops in February after it emerged she 'had exchanged X-rated photos and videos with the student'On Wednesday, she was charged with soliciting sex with a minor for 'inviting the boy over to stay the night so they could have sex'But the plans were scuppered when the school learned of their relationship .Fetters allegedly began texting the boy when he was just 12 .","A 28-year-old teacher has been charged after she allegedly exchanged multiple nude pictures and videos with a 14-year-old student she began texting when he was just 12. Whitney Fetters, from Putnam City, Oklahoma, turned herself into cops in February after other students told teachers about the pictures but she was released after posting $10,000 bail. On Wednesday, Oklahoma County prosecutors charged her with one count of soliciting sex with a minor and one count of possession of marijuana. The Spanish teacher, who has since lost her job at Hefner Middle School, allegedly planned to invite the boy to spend the night with her as she was house-sitting'so they"
"The death of a toddler two weeks ago is being treated as suspicious .Police issued crime scene warrant on the property in Neilrex, NSW on Wed .Detective Whiteside said that due to inquiries it is regarded as suspicious .The 20-month-old was rushed to hospital after  struggling to breathe .Police believe that members of the Neilrex community have information .","the death of a toddler in central west NSW is being treated as suspicious by police. The 20-month-old boy had reportedly been choking and struggling to breathe on March the 23rd and was rushed to Coolah District Hospital by emergency services where he was pronounced dead. Forensic officers attended the property on Merrygoen Rd in Neilrex on Wednesday where they executed a crime scene warrant. The death of a 20-month-old toddler is being treated as suspicious after he was admitted struggling to breathe. Police strongly believe that there are members of the Neilrex community, which is 60 kilometres south of Coonabarabran, that can help"
"Over 100 items including children's jewellery, floor mats, kitchen utensils and silly straws contained either harmful plastics, metals or chemicals .Many of the chemicals can be absorbed through ingestion and skin exposure, with children at risk due to their very high hand to mouth ratio .A study of four discount retailers in the US found 81% of the products tested contained at least one hazardous chemical 'above levels of concern'CEO of Australian College of Environmental Studies, Nicole Bijlsma, said the ACCC's active chemical inspection program was 'not good enough'","you might think that you’re saving yourself some smart dollars by opting for the cheaper alternatives of everyday household items sold at two dollar stores but an environmental specialist has warned that you could actually be making your family sick. From bargain bath mats and kitchen utensils to fun knick-knacks like silly straws and children’s stick-on jewellery, hundreds of products sold at discount retailers have been found to contain toxic levels of harmful metals, plastics and chemicals that have been linked to cancers and diseases. A recent study of four major discount retailers in the United States by the Ecology Centre found that 133 out of 164 products tested, including children's jewellery, floor mats"
Ashley Doody attacked pet dog Trixie  on Sunday after allegedly taking bath salts .Trixie was seriously wounded during the attack but is expected to survive .,"A 30-year-old mother-of-two allegedly high on bath salts stabbed her family dog with a kitchen knife because she thought it was possessed by demons, according to police in Maine. Aroostook County Sheriff's Office responded to a home in Perham on Sunday and found Ashley Doody acting aggressively and exhibiting unpredictable behavior. They discovered that Doody, who is a nurse, had attacked her mixed-breed dog, Trixie. The sheriff says the dog lost a lot of blood but was taken to a veterinarian and is expected to survive - while Doody is in jail on $1,000 bail. She has been charged with aggravated"
"Stacey Eden, 23, stands up for Muslim woman being bullied on the train .Video shows a middle-aged woman ranting about Islam to quiet passenger .Ms Eden said the ranter labelled the Muslim commuters ISIS terrorists .She also brought up beheadings, a massacre and the Martin Place siege .'What's that got to do with this poor woman?' Ms Eden fumed .'Shut your mouth if you've got nothing to say'Ms Eden said she stayed on the train to make sure they were OK .Both parties alighted the train at the Airport shortly before 2pm Wednesday .Police contacted Daily Mail Australia encouraging witnesses to come forward .Islamic community leader says incidents are becoming increasingly common .'I always make sure I have sufficient storage space on my phone to record'","police are now urging witnesses of a middle-aged woman's offensive public transport tirade at a Muslim woman to come forward after Daily Mail Australia published video of the incident. Stacey Eden, 23, stood up for the Muslim woman and her partner after witnessing the ranter 'bullying' the Sydney commuter on an Airport Line train around 1:40pm on Wednesday afternoon. Ms Eden switched on the video camera on her mobile phone to record the vile rant before rushing to Muslim couple's defence with a fiery spray notably absent any swearing. A police spokeswoman contacted Daily Mail Australia on Thursday to say they would 'definitely encourage' witnesses"
Darron Gibson has been ruled out for the rest of the season with injury .Gibson has a metatarsal problem but will be back for pre-season .Roberto Martinez wants to extend his contract despite repeated injuries .Everton will likely rekindle interest in Tom Cleverley in the summer .,"Everton will look to extend Darron Gibson's contract this summer as he recovers from the latest injury setback of his career. Roberto Martinez confirmed on Thursday that the Republic of Ireland international will miss the final seven games of the season with metatarsal damage, but expects him to be ready for pre-season as he does not require surgery. Gibson has endured a wretched time over the last 18 months, not least when he ruptured cruciate ligaments, and his position at Goodison Park could be regarded as vulnerable, particularly as Everton will rekindle their long-standing interest in Tom Cleverley in the summer. Evert"
"On Divorce Court episode Nathan Sellers went on show with Lia Palmquist and accused her of sleeping with every single member of Wu-Tang Clan .He said it was during one night as she partied with them at a hotel .Palmquist would have had sex with RZA, GZA, Ghostface Killah, Masta Killa, U-God, Inspectah Deck, Raekwon, Cappadonna and Method Man .Ol' Dirty Bastard is dead so he wasn't involved no matter what happened .","During a recent episode of Divorce Court, a disgruntled man said the members of Wu-Tang Clan did something with his girlfriend - and it wasn't unleashing their famed Killa Beez. Nathan Sellers went on the show with his ex, Lia Palmquist, and accused her of sleeping with every member of the Wu-Tang Clan during one night as she partied with them at a hotel after a show. That would mean Palmquist had sex with the RZA, the GZA, Ghostface Killah, Masta Killa, U-God, Inspectah Deck, Raek"
Demetrious Johnson retains his UFC flyweight title .The 28-year-old beat Kyoji Horiguchi by submission in Montreal .Quinton Jackson beat Fabio Maldonado in UFC 186 co-main event .Win was Jackson's first victory in the UFC since 2011 .,"Demetrious Johnson retained his UFC flyweight champion title on Saturday night, controlling Kyoji Horiguchi for nearly the entire five-round bout before scoring the latest submission win in UFC history - tapping out his opponent with a second left. 'I didn't want to be stupid and get knocked out,' Johnson said. 'I had 25 minutes. I just took my time, and with 1 second left, I figured I better finish him.' Demetrious Johnson retained his UFC flyweight title with a win over Kyoji Horiguchi in Montreal. Johnson celebrates after a successful defence of his title at th Bell Centre in canada on Saturday"
Muhammad Naviede died after his Piper Tomahawk aircraft crashed in field .The 60-year-old sent text to relative shortly before plane span out of control .Air Accident Investigation Branch investigation says message is 'unusual'His daughter was on X Factor and brother entertained Cherie Blair at home .The father-of-two was jailed for nine years in 1995 for a £45million fraud .,"Muhammad Naviede, 60, (pictured outside the Old Bailey in 1995) was killed instantly in a plane crash. A banking fraudster with links to Cherie Blair was killed instantly in a plane crash minutes after he sent a text saying his aircraft was going down, an investigation has revealed. Muhammad Naviede, who was jailed in 1995 for nine years for a £45million fraud, died after his Piper Tomahawk aircraft plummeted into a field near Padbury in Buckinghamshire. The 60-year-old, whose daughter is a former X-Factor contestant, sent a text to a relative shortly before the crash on August"
"Police: A male TSA officer signaled to a female officer when he found a man attractive .Female officer would notify scanning machine a woman -- not a man -- was passing through .Police: That would trigger an anomaly in groin area, leading male officer to grope passenger .","two Transportation Security Administration screeners have been fired after conspiring to grope attractive men at Denver International Airport, Denver police said. Here's how police say the scheme worked: When the male TSA officer noticed a man he found attractive, he would alert a female TSA officer. The female officer would then tell the screening machine that a female passenger -- not a male -- was walking through. And that information would trigger a machine to register an anomaly in the groin area, prompting the male TSA officer to pat down the passenger, police said, citing a TSA investigation. But during the patdown, the male TSA officer used the palms"
Archives reveal list of drunkards banned from every pub in Birmingham .Were all put on the 1904 blacklist after convictions under Inebriates Act .List was then sent to landlords who were not allowed to sell them booze .Offenders were also ordered to work up to 21 days of 'hard labour',"smartly dressed in a bowler hat and waistcoat, these civilians may look like respectable members of society in Edwardian England. In fact, they were the drunkards banned from every boozer in Birmingham for a string of crimes including drink-driving a steam engine, riding a horse while drunk and being intoxicated to the point of 'complete incompetence'. They were all placed on the 1904 blacklist after four convictions under the Inebriates Act of 1898. The list was then sent to landlords who were not allowed to sell them alcohol. Scroll down for video. Boozy: Kitted out in a bowler"
"Kerry 'is delusional' if he expected to claim the Iranians agreed to the phased lifting of sanctions when they didn't and get away with it, he said .Senate Armed Services Chair John McCain was responding to Iran saying there would be no formal pact unless sanctions relief is 'instant''I think John Kerry tried to come back and sell a bill of goods, hoping maybe that the Iranians wouldn’t say much about it,' GOP lawmaker said .'At best, Iran agreed to disagree with the United States on key nuclear weapons-related issues and to continue talks,' another GOP senator said .Another  said 'the Ayatollah and President Obama appear to be talking about two separate agreements...unfortunately, I can’t say I’m surprised'","Secretary of State John Kerry 'is delusional' if he expected to claim the Iranians agreed to the phased lifting of sanctions as part of a nuclear deal when they didn't and get away with it, says the chairman of the Senate Armed Services Committee, John McCain. 'I think John Kerry tried to come back and sell a bill of goods, hoping maybe that the Iranians wouldn’t say much about it,' the Republican lawmaker told radio host Hugh Hewitt during his Thursday program. McCain, responding to the supreme leader of Iran's proclamation yesterday that there would be no formal pact unless sanctions relief is 'instant,' said"
"Oshun Cafe serves four variations of Brazilian superfood, costing £6 each .Pop-up restaurant will be open from 8 to 27 April .Berries packed with amino acids, as well as vitamins A, B, C and E .","London is about to get yet another single-item menu eaterie. The latest to open in the capital this week is the Oshun Café, which will serve £6 bowls of Brazilian superfood acai berries. The sparse menu offers four variations of berry bowls, served with different toppings and fruit accompaniments. The Native Acai Berry Bowl is topped with bananas, granola, raisin and honey. Oshun Kong (left) made with coriander, ginger, lemongrass and sprinkled with sesame seeds. Courgette, lime, sour cherries and strawberries in the Oshun Tang (right) The fruit"
Just nine points separates the bottom seven clubs in the Premier League .QPR boss Chris Ramsey says they need three more wins to survive .Burnley host relegation rivals Leicester in the league on Saturday .,"It's truly squeaky bum time in the Premier League relegation battle as just nine points separates the bottom seven teams. Sportsmail asks some of the managers in and among the dog fight what they feel is required for them to avoid the drop this season. Question: 'What will it take for your club to stay in the Premier League?' CHRIS RAMSEY (QPR) 'If we win three games I think we will stay up. It might take less. I'm not saying that's the definitive amount - but we really need to start winning, starting with this weekend. To do that, we need to concentrate right to the end and make sure that"
Tottenham travel to Newcastle for their Premier League clash on Sunday .Magpies supporters are planning a mass protest at St James' Park .Spurs boss Mauricio Pochettino doesn't know how this will affect players .,"Tottenham head coach Mauricio Pochettino is unsure whether a planned boycott by Newcastle fans will prove a help or hindrance to his side this weekend. This season, like so many in recent years, has been a frustrating one at St James' Park and that has led some fans to take action when Spurs arrive on Sunday. A number of supporters plan to boycott the televised game in protest against owner Mike Ashley, which is likely to lead to a peculiar atmosphere in the north east. Tottenham boss Mauricio Pochettino (right) is in an upbeat mood ahead of the trip to Newcastle. Newcastle fans are staging a mass protest against the current"
